vteClimate data for Vladivostok (1991–2020 normals, extremes 1872–present)
Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Record high °C (°F),5.0(41.0),9.9(49.8),19.4(66.9),27.7(81.9),29.5(85.1),31.8(89.2),33.6(92.5),32.6(90.7),30.0(86.0),23.4(74.1),17.5(63.5),9.4(48.9),33.6(92.5)
Average high °C (°F),−7.8(18.0),−3.8(25.2),2.7(36.9),10.1(50.2),14.9(58.8),17.9(64.2),21.6(70.9),23.3(73.9),20.1(68.2),13.2(55.8),3.3(37.9),−5.4(22.3),9.2(48.6)
Daily mean °C (°F),−11.9(10.6),−8.1(17.4),−1.5(29.3),5.3(41.5),10.0(50.0),13.8(56.8),18.1(64.6),20.0(68.0),16.3(61.3),9.2(48.6),−0.7(30.7),−9.2(15.4),5.1(41.2)
Average low °C (°F),−15.0(5.0),−11.3(11.7),−4.5(23.9),2.1(35.8),7.0(44.6),11.3(52.3),16.1(61.0),17.9(64.2),13.5(56.3),6.2(43.2),−3.5(25.7),−12.0(10.4),2.3(36.1)
Record low °C (°F),−31.4(−24.5),−28.9(−20.0),−21.3(−6.3),−7.8(18.0),−0.8(30.6),3.7(38.7),8.7(47.7),10.1(50.2),1.3(34.3),−9.7(14.5),−20.0(−4.0),−28.1(−18.6),−31.4(−24.5)
Average precipitation mm (inches),12(0.5),16(0.6),27(1.1),43(1.7),97(3.8),105(4.1),159(6.3),176(6.9),103(4.1),67(2.6),36(1.4),19(0.7),860(33.9)
Average extreme snow depth cm (inches),5(2.0),4(1.6),3(1.2),0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0.4),3(1.2),5(2.0)
Average rainy days,0.3,0.3,4,13,20,22,22,19,14,12,5,1,133
Average snowy days,7,8,11,4,0.3,0,0,0,0,1,7,9,47
Average relative humidity (%),58,57,60,67,76,87,92,87,77,65,60,60,71
Mean monthly sunshine hours,178,184,216,192,199,130,122,149,197,205,168,156,2,096
Source 1: Погода и Климат[47]
Source 2: NOAA (sun, 1961–1990)[48]
